Date,Open,High,Low,Close,Volume,Adj Close,20 Day SMA,50 Day SMA,Trade,
1/8/2013,34.5,34.5,33.11,33.68,1284000,33.68,34.288,32.658,,
1/9/2013,34.01,34.19,33.4,33.64,698000,33.64,34.2415,32.7824,,
1/10/2013,33.87,33.99,33.38,33.53,922500,33.53,34.154,32.9026,,
1/11/2013,34.04,34.04,32.11,32.91,1563200,32.91,34.0365,33.0132,,
1/14/2013,33.08,33.38,32.85,33.26,925100,33.26,34.019,33.1158,,
1/15/2013,33.11,34.25,33.08,33.9,1624200,33.9,34.0235,33.2088,,
1/16/2013,33.85,34.23,33.73,34.1,1378200,34.1,34.0085,33.3124,,
1/17/2013,34.16,34.85,33.92,34.38,1436700,34.38,33.998,33.37,,
1/18/2013,34.74,34.78,33.82,34.52,3555100,34.52,33.9935,33.4374,,
1/22/2013,34.56,35.55,34.26,35.19,1920200,35.19,34.0315,33.5104,,
1/23/2013,35.02,36.24,34.96,36,1564300,36,34.1315,33.6042,,
1/24/2013,36,37.72,35.84,36.99,1970400,36.99,34.267,33.7376,,
1/25/2013,37,37.54,36.8,36.98,1287800,36.98,34.4365,33.8558,,
1/28/2013,36.86,38.71,36.86,38.03,1986000,38.03,34.6535,33.9842,,
1/29/2013,38.1,38.44,37.13,37.95,1426600,37.95,34.89,34.1156,,
1/30/2013,37.85,38,37.43,37.52,968100,37.52,35.0725,34.2496,,
1/31/2013,37.87,37.87,36.93,37.51,901400,37.51,35.18,34.363,,
2/1/2013,38.17,38.5,37.62,38.3,1100600,38.3,35.3565,34.4706,,
2/4/2013,38.4,38.42,37.59,37.74,1128000,37.74,35.5235,34.5654,,
2/5/2013,38,38.65,37.68,38.13,1310200,38.13,35.713,34.6786,,
2/6/2013,38.18,39.39,37.9,39.17,1893200,39.17,35.9875,34.8194,,
2/7/2013,39.19,39.68,38.95,39.48,1196600,39.48,36.2795,34.9636,,
2/8/2013,39.45,40,39.14,39.24,1139800,39.24,36.565,35.1054,,
2/11/2013,37.98,39.15,37.5,38.42,3266300,38.42,36.8405,35.2092,,
2/12/2013,38.45,38.87,37.29,37.89,2261300,37.89,37.072,35.2932,,
2/13/2013,38.3,39,38.05,38.45,966800,38.45,37.2995,35.3858,,
2/14/2013,38.64,38.75,38.21,38.27,990700,38.27,37.508,35.4588,,
2/15/2013,38.5,38.51,36.95,37.04,2017600,37.04,37.641,35.5216,,
2/19/2013,37.36,39.29,37.31,39.28,2701400,39.28,37.879,35.633,,
2/20/2013,39.3,39.65,38.46,38.54,3122000,38.54,38.0465,35.7258,,
2/21/2013,36.49,37.39,34.54,35.16,9037800,35.16,38.0045,35.7456,,
2/22/2013,35.72,36.39,35.6,36.11,2547300,36.11,37.9605,35.7764,,
2/25/2013,36.15,36.75,34.34,34.38,2889400,34.38,37.8305,35.7584,,
2/26/2013,34.46,34.96,33.8,34.43,2762900,34.43,37.6505,35.7418,,
2/27/2013,34.41,35.41,34.4,35.1,1959200,35.1,37.508,35.7716,,
2/28/2013,35.89,36.1,34.37,34.83,1964900,34.83,37.3735,35.792,,
3/1/2013,35,35.08,34.25,34.65,1546600,34.65,37.2305,35.797,,
3/4/2013,34.77,35.83,34.7,35.58,1757700,35.58,37.0945,35.8168,,
3/5/2013,36,36.92,35.79,36.65,2087000,36.65,37.04,35.8576,,
3/6/2013,37.01,37.88,36.97,37.69,1150000,37.69,37.018,35.9228,,
3/7/2013,37.73,38.65,36.88,38.23,1158300,38.23,36.971,36.0074,,
3/8/2013,38.06,39.44,37.36,38.47,912100,38.47,36.9205,36.0912,,
3/11/2013,38.87,39.44,38.65,39.1,1579500,39.1,36.9135,36.2014,,
3/12/2013,38.9,39.38,38.85,39.12,1275100,39.12,36.9485,36.31,,
3/13/2013,39,39.49,38.81,38.98,822000,38.98,37.003,36.4252,,
3/14/2013,38.9,38.91,36.77,36.85,2021000,36.85,36.923,36.4848,,
3/15/2013,36.64,36.65,35.21,35.29,3279600,35.29,36.774,36.4834,,
3/18/2013,35.3,36.06,34.92,35.15,1316100,35.15,36.6795,36.491,,
3/19/2013,35.25,35.6,34.94,35.08,1098500,35.08,36.4695,36.5046,,
3/20/2013,35.26,36.07,35.16,35.95,1423000,35.95,36.34,36.5368,,
3/21/2013,35.95,37.06,35.74,36.01,1146300,36.01,36.3825,36.5834,,
3/22/2013,36.2,36.8,36.2,36.62,440200,36.62,36.408,36.643,,
3/25/2013,37.1,38.52,36.77,37.53,2378800,37.53,36.5655,36.723,,
3/26/2013,37.98,38.22,37.66,37.86,1808200,37.86,36.737,36.822,,
3/27/2013,37.94,38.38,37.31,38.16,1296300,38.16,36.89,36.92,,
3/28/2013,38.23,38.24,37.75,37.89,1158700,37.89,37.043,36.9998,,
4/1/2013,42.36,46.68,41.7,43.93,14098500,43.93,37.507,37.1964,,
4/2/2013,43.6,45.5,43.51,44.34,6652400,44.34,37.945,37.3956,,
4/3/2013,43.1,43.47,40.21,41.1,5643600,41.1,38.1675,37.5272,,
4/4/2013,41.11,42.25,40.81,42.01,2264800,42.01,38.3835,37.6636,,
4/5/2013,42,42,40.5,41.37,1552400,41.37,38.5405,37.771,,
4/8/2013,41.97,42.55,41.51,41.83,1679000,41.83,38.7085,37.8678,,
4/9/2013,41.8,41.83,40.33,40.5,1696100,40.5,38.7785,37.9382,,
4/10/2013,40.7,42.01,40.61,41.86,2121100,41.86,38.9155,38.0148,,
4/11/2013,42.06,44.55,41.75,43.59,3447400,43.59,39.146,38.1276,,
4/12/2013,43.25,45.14,43.05,43.75,3149400,43.75,39.491,38.2522,,
4/15/2013,43.5,43.8,42.51,43.3,1681400,43.3,39.8915,38.368,,
4/16/2013,44.19,46.14,43.91,45.59,3180400,45.59,40.4135,38.5138,TRADE,
4/17/2013,45.5,45.95,44.54,45.45,2118500,45.45,40.932,38.668,,
4/18/2013,45.98,47.6,45.39,46.97,3367900,46.97,41.483,38.8448,,
4/19/2013,47.46,49.88,47.07,47.83,3011700,47.83,42.074,39.018,,
4/22/2013,48.6,50.2,47.75,50.19,3939400,50.19,42.7525,39.2322,,
4/23/2013,51,52.92,50.66,51.01,3733800,51.01,43.4265,39.4676,,
4/24/2013,50.9,51.05,48.98,50.43,2630000,50.43,44.055,39.7078,,
4/25/2013,50.5,52.4,50.5,52,2795900,52,44.747,39.99,,
4/26/2013,53.13,53.74,50.62,51.2,3622100,51.2,45.4125,40.245,,
4/29/2013,51.76,54.99,51.2,54.94,3639700,54.94,45.963,40.5784,,
4/30/2013,56,58.18,53.76,53.99,5522600,53.99,46.4455,40.9174,,
5/1/2013,55.99,55.99,53,53.28,2742800,53.28,47.0545,41.1974,,
5/2/2013,53.85,55.27,53.7,54.11,3050400,54.11,47.6595,41.5088,,
5/3/2013,56.47,56.47,54.5,54.55,3378700,54.55,48.3185,41.8966,,
5/6/2013,56.39,59.66,55.5,59.5,4366700,59.5,49.202,42.3644,,
5/7/2013,62,62.37,55.12,55.51,9991000,55.51,49.9525,42.787,,
5/8/2013,57.5,58.2,55.71,55.79,6769900,55.79,50.649,43.2142,,
5/9/2013,70.12,75.77,63.69,69.4,28605000,69.4,51.9395,43.9002,,
5/10/2013,69.65,81,69.25,76.76,25082600,76.76,53.59,44.7388,,
5/13/2013,80.99,88,79.15,87.8,22416900,87.8,55.815,45.8018,,
5/14/2013,94.22,97.12,81.15,83.24,37163900,83.24,57.6975,46.755,,
5/15/2013,81.8,86.88,78.11,84.84,16878700,84.84,59.667,47.7188,,
5/16/2013,94.7,95,88.66,92.25,21614000,92.25,61.931,48.81,TRADE,
5/17/2013,92.5,94.44,87.5,91.5,19002200,91.5,64.1145,49.8754,,
5/20/2013,91.12,92.5,88.63,89.94,8348400,89.94,66.102,50.9048,,
5/21/2013,88.5,89.99,85.28,87.59,8998200,87.59,67.931,51.8746,,
5/22/2013,86.37,90.96,85.5,87.24,8568000,87.24,69.7715,52.837,,
5/23/2013,84.81,93.01,83.05,92.73,12022200,92.73,71.808,53.912,,
5/24/2013,92.6,97.95,92,97.08,16124200,97.08,74.102,55.1166,,
5/28/2013,101.55,110.75,100.3,110.33,19691900,110.33,76.8715,56.6174,,
5/29/2013,113.55,114.9,99,104.63,25099500,104.63,79.4035,58.007,,
5/30/2013,102.46,109.54,101.2,104.95,16133700,104.95,81.987,59.4044,,
5/31/2013,106.26,106.44,97.73,97.76,15172000,97.76,84.1695,60.6406,,
6/3/2013,97.62,97.62,88.25,92.59,19139600,92.59,86.0715,61.7722,,
6/4/2013,92.75,96.42,92.4,94.84,8856100,94.84,87.8385,62.9366,,
6/5/2013,93.66,97.97,89.11,95.37,12224800,95.37,89.8315,64.0934,,
6/6/2013,95.25,99.27,95.11,97.35,9510900,97.35,91.9095,65.2832,,
6/7/2013,98,102.9,96.7,102.04,10711600,102.04,93.5415,66.5608,,
6/10/2013,98.93,102.52,98.57,100.05,9228600,100.05,94.706,67.804,,
6/11/2013,98.18,98.68,94.05,94.47,7394000,94.47,95.0395,68.8148,,
6/12/2013,96.8,100.48,95.75,97.73,9192700,97.73,95.764,69.8826,,
6/13/2013,99,99.28,95.12,98.18,5961600,98.18,96.431,71.0242,,
6/14/2013,100,102.52,99.33,100.3,6564700,100.3,96.8335,72.19,TRADE,
6/17/2013,103.6,104.75,101.2,102.2,7066200,102.2,97.3685,73.4066,,
6/18/2013,101.75,103.98,99.2,103.39,8795300,103.39,98.041,74.6378,,
6/19/2013,102.06,106.67,102.01,104.68,8578900,104.68,98.8955,75.9214,,
6/20/2013,104.65,107.13,99.45,100.65,10106500,100.65,99.566,77.0972,,
6/21/2013,103.7,103.7,97.5,99.55,11718600,99.55,99.907,78.2164,,
6/24/2013,96.5,102.87,95.3,101.49,7119800,101.49,100.1275,79.3712,,
6/25/2013,103.1,104.2,100.55,102.4,5848700,102.4,99.731,80.5532,,
6/26/2013,103.8,105.87,102.66,105.72,6602600,105.72,99.7855,81.7558,,
6/27/2013,106.75,110.25,106.13,109.25,8744900,109.25,100.0005,83.0318,,
6/28/2013,108.57,109.44,106.71,107.36,5748600,107.36,100.4805,84.2396,,
7/1/2013,109.36,117.77,109.15,117.18,10903600,117.18,101.71,85.6266,,
7/2/2013,118.25,121.89,115.5,117.82,12064100,117.82,102.859,86.9792,,
7/3/2013,118,119.25,114.27,115.24,4806700,115.24,103.8525,88.2638,,
7/5/2013,118.32,120.28,115.7,120.09,6818700,120.09,104.9895,89.657,,
7/8/2013,121.37,122.18,118.82,121.61,7814200,121.61,105.968,91.0492,,
